invoice_date,invoice_number,location_zip,total,completion_date
2021-06-28,26213104,80906.0,1031.4,2021-06-28
2021-06-14,26213362,80907.0,315.0,2021-06-14
2021-07-06,26213459,80906.0,2762.4,2021-07-06
2021-06-29,26213482,80923.0,423.0,2021-06-29
2021-06-14,26213587,80911.0,0.0,2021-06-14
2021-06-17,26213723,80922.0,499.0,2021-06-17
2021-06-29,26213738,80919.0,900.4,2021-06-29
2021-07-01,26214227,80920.0,677.4,2021-07-01
2021-07-23,26214619,80906.0,4500.0,2021-07-23
2021-06-30,26214760,80925.0,236.0,2021-06-30
2021-06-15,26214774,80908.0,0.0,2021-06-15
2021-06-17,26216286,80133.0,129.0,2021-06-17
2021-06-15,26216302,80132.0,451.0,2021-06-15
2021-06-30,26216799,80919.0,800.0,2021-06-30
2021-06-18,26216926,80919.0,0.0,2021-06-18
2021-06-21,26217044,80919.0,49.0,2021-06-21
2021-06-29,26217057,80920.0,971.4,2021-06-29
2021-06-29,26217072,80907.0,632.0,2021-06-29
2021-06-29,26217180,80132.0,167.4,2021-06-29
2021-06-29,26217428,80925.0,936.95,2021-06-29
2021-06-21,26217440,80831.0,0.0,2021-06-21
2021-06-30,26217469,80923.0,1270.4,2021-06-30
2021-06-16,26217555,80918.0,0.0,2021-06-16
2021-06-14,26217946,80906.0,658.0,2021-06-14
2021-07-02,26218103,80929.0,1615.0,2021-07-02
2021-06-29,26219787,80927.0,271.0,2021-06-29
2021-06-21,26219988,80906.0,84.0,2021-06-21
2021-06-15,26221267,80920.0,511.4,2021-06-15
2021-06-17,26221284,80919.0,740.4,2021-06-17
2021-06-30,26221296,80909.0,467.4,2021-06-30
2021-06-30,26229076,80919.0,49.0,2021-06-30
2021-06-30,26238035,80132.0,79.0,2021-06-30
2021-06-25,26238547,80921.0,115.0,2021-06-25
2021-06-21,26238580,80920.0,199.0,2021-06-21
2021-06-30,26240345,80918.0,2421.4,2021-06-30
2021-06-30,26240724,80907.0,49.0,2021-06-30
2021-06-30,26242646,80920.0,49.0,2021-06-30
2021-06-30,26242660,80921.0,156.0,2021-06-30
2021-06-15,26243284,80922.0,0.0,2021-06-15
2021-06-30,26245075,80921.0,177.0,2021-06-30
2021-06-30,26245598,80132.0,84.0,2021-06-30
2021-07-01,26245612,80906.0,498.4,2021-07-01
2021-06-15,26248023,80906.0,349.0,2021-06-15
2021-07-01,26248038,80904.0,97.95,2021-07-01
2021-06-30,26249047,80920.0,125.95,2021-06-30
2021-06-15,26249172,80911.0,508.0,2021-06-15
2021-06-18,26249556,80906.0,0.0,2021-06-18
2021-06-29,26249572,80906.0,256.0,2021-06-29
2021-07-01,26249820,80904.0,409.95,2021-07-01
2021-06-15,26250198,80905.0,49.0,2021-06-15
2021-06-30,26250351,80132.0,216.4,2021-06-30
2021-06-17,26250454,80904.0,68.0,2021-06-17
2021-06-17,26250584,80920.0,0.0,2021-06-17
2021-06-30,26251483,80919.0,167.4,2021-06-30
2021-06-30,26251739,80922.0,780.0,2021-06-30
2021-07-01,26251753,80922.0,128.0,2021-07-01
2021-06-22,26252116,80906.0,190.0,2021-06-22
2021-06-30,26252246,80907.0,535.0,2021-06-30
2021-07-01,26253152,80921.0,137.0,2021-07-01
2021-06-15,26253781,80922.0,0.0,2021-06-15
