invoice_date,invoice_number,location_zip,total,completion_date
2021-07-09,26878551,80916.0,0.0,2021-07-09
2021-07-27,26878934,80921.0,290.0,2021-07-27
2021-07-09,26888019,80907.0,174.0,2021-07-09
2021-07-29,26888787,80132.0,1626.4,2021-07-29
2021-07-12,26889939,80906.0,0.0,2021-07-12
2021-07-14,26891091,80923.0,467.0,2021-07-14
2021-07-14,26892244,80132.0,839.4,2021-07-14
2021-07-15,26892510,80831.0,49.0,2021-07-15
2021-07-16,26893403,80907.0,576.0,2021-07-16
2021-07-07,26902995,80920.0,123.0,2021-07-07
2021-07-15,26904021,80919.0,49.0,2021-07-15
2021-07-19,26906963,80920.0,103.0,2021-07-19
2021-07-08,26906980,80922.0,49.0,2021-07-08
2021-07-08,26908628,80909.0,721.0,2021-07-09
2021-07-09,26909395,80920.0,0.0,2021-07-09
2021-07-08,26909426,80921.0,0.0,2021-07-08
2021-07-15,26909908,80909.0,49.0,2021-07-15
2021-07-14,26910419,80908.0,98.0,2021-07-14
