,population,median_age,median_home_age,median_home_value,median_income,owner_occ,zip
201,3121.0,36.7,1981.0,276400.0,76103.0,1823.0,80644
202,541.0,39.1,1956.0,201700.0,60250.0,357.0,80726
203,9740.0,47.9,1985.0,333500.0,78068.0,8439.0,80421
205,52172.0,32.0,1978.0,220800.0,51461.0,27782.0,80011
206,34030.0,39.4,1992.0,584000.0,109895.0,23390.0,80027
207,37668.0,32.0,1985.0,254400.0,64248.0,20933.0,80017
208,19217.0,45.1,1971.0,455200.0,101500.0,15301.0,80121
209,1914.0,22.8,1987.0,469300.0,96397.0,952.0,80137
210,25066.0,37.3,1961.0,666300.0,77165.0,12362.0,80206
211,782.0,50.1,1983.0,112500.0,46875.0,650.0,81143
212,12587.0,50.8,1994.0,316300.0,52111.0,8864.0,81147
213,8281.0,46.2,1991.0,343600.0,52813.0,5634.0,81211
214,11632.0,38.6,1993.0,181100.0,54806.0,7962.0,81008
215,231.0,56.3,1993.0,179500.0,16007.0,216.0,81024
216,741.0,48.2,1960.0,107800.0,47500.0,530.0,81025
217,693.0,54.9,1990.0,210100.0,51058.0,456.0,81091
218,1902.0,37.1,1980.0,134900.0,44208.0,1590.0,81151
219,2271.0,45.1,1972.0,96500.0,30556.0,1732.0,81120
220,323.0,49.9,1987.0,193300.0,45250.0,282.0,81121
221,8798.0,40.2,1992.0,339600.0,73258.0,7348.0,81122
222,9543.0,49.1,1976.0,365200.0,57882.0,7412.0,81201
223,169.0,36.3,1949.0,51300.0,46250.0,111.0,81027
224,195.0,29.3,1952.0,42500.0,40625.0,184.0,81033
225,311.0,43.3,1983.0,81500.0,26406.0,234.0,81044
226,240.0,49.0,1956.0,131300.0,50729.0,122.0,81049
227,31963.0,40.8,1974.0,166800.0,50779.0,22726.0,81005
228,1345.0,53.9,1969.0,191400.0,73333.0,1107.0,81023
229,1714.0,42.8,1997.0,327600.0,91250.0,1479.0,81524
231,412.0,64.3,1994.0,334700.0,69405.0,334.0,81643
232,11369.0,44.7,1966.0,149500.0,41743.0,7254.0,81082
233,9295.0,41.9,1976.0,141400.0,48125.0,3823.0,81226
234,416.0,58.3,1988.0,256400.0,50139.0,367.0,81327
235,2977.0,54.7,1996.0,491900.0,64076.0,2045.0,81432
236,781.0,34.7,1967.0,126500.0,53375.0,506.0,81077
238,49.0,39.5,1969.0,61300.0,21250.0,40.0,81043
239,279.0,51.1,1953.0,56800.0,43438.0,195.0,81064
240,1035.0,56.3,1990.0,165400.0,39076.0,773.0,81133
241,2223.0,35.8,1975.0,147800.0,43098.0,1751.0,81140
242,7047.0,38.9,1970.0,157500.0,39322.0,4398.0,81144
243,306.0,41.1,1978.0,93900.0,41250.0,273.0,81221
244,2306.0,43.4,1992.0,305800.0,52109.0,1976.0,81326
245,1506.0,60.3,1983.0,258800.0,55125.0,1058.0,81410
246,5426.0,53.1,1990.0,258500.0,48057.0,4144.0,81413
247,1117.0,50.6,1987.0,380000.0,68090.0,832.0,81427
248,912.0,57.4,1994.0,437500.0,92958.0,869.0,81523
249,1301.0,44.0,1999.0,193200.0,48778.0,1060.0,81525
250,26581.0,36.8,1947.0,108000.0,35813.0,12928.0,81004
251,811.0,39.6,1966.0,82100.0,37500.0,555.0,81041
252,136.0,39.4,1965.0,75000.0,48750.0,85.0,81087
253,3469.0,38.7,1975.0,93300.0,42176.0,1885.0,81125
254,1280.0,40.1,1974.0,118600.0,37670.0,1076.0,81141
255,30986.0,44.3,1979.0,178300.0,49200.0,17656.0,81212
256,10041.0,32.6,1980.0,314800.0,51646.0,5645.0,81230
257,795.0,55.0,1986.0,365100.0,56518.0,554.0,81235
258,1271.0,61.5,1992.0,416200.0,61288.0,1043.0,81236
259,3547.0,48.8,1983.0,204400.0,67599.0,2879.0,81240
261,30887.0,39.4,1985.0,454600.0,72041.0,19841.0,81301
262,14863.0,44.5,1978.0,193400.0,50658.0,10188.0,81321
263,5252.0,37.5,1994.0,496900.0,66981.0,2624.0,81435
264,24002.0,30.5,1970.0,181900.0,38013.0,9135.0,81501
265,12298.0,52.0,1984.0,295300.0,54155.0,8058.0,81506
266,1487.0,40.3,1979.0,297000.0,54535.0,1331.0,81654
267,1674.0,34.1,1990.0,196500.0,42670.0,1004.0,81019
269,1452.0,35.1,1983.0,462100.0,91136.0,904.0,81225
270,173.0,56.0,1985.0,450000.0,60208.0,157.0,81251
272,1344.0,59.3,1998.0,198000.0,24495.0,914.0,81131
273,791.0,37.4,1981.0,118200.0,60667.0,484.0,81146
274,664.0,45.6,1974.0,148200.0,37083.0,446.0,81422
275,1034.0,45.8,1971.0,153800.0,41827.0,876.0,81424
276,163.0,45.5,1996.0,620500.0,97500.0,149.0,81426
277,10454.0,37.8,1995.0,289700.0,65181.0,7065.0,81505
280,825.0,55.9,1993.0,602300.0,85938.0,707.0,81430
282,2783.0,49.3,1985.0,884400.0,70634.0,1795.0,81615
283,17173.0,38.7,1992.0,621200.0,86565.0,10332.0,81623
284,12601.0,36.2,1976.0,184000.0,57827.0,8399.0,81625
285,1054.0,39.4,1988.0,216100.0,64698.0,807.0,81630
286,8903.0,35.7,1998.0,572200.0,101620.0,6131.0,81631
287,1101.0,35.7,1971.0,646300.0,90521.0,484.0,81645
288,2688.0,33.2,1981.0,164700.0,62667.0,1892.0,81648
290,1268.0,40.8,1997.0,166800.0,54891.0,1080.0,80928
291,233.0,52.5,1941.0,107500.0,40938.0,188.0,80749
293,194.0,42.0,1955.0,165600.0,41250.0,114.0,80757
294,3657.0,41.7,1964.0,169500.0,53858.0,2153.0,80758
